date,close,volume,pnl
1/31/19,2704.1,4917650000,-72555.50646
1/30/19,2681.05,3867810000,-688232.2732
1/29/19,2640,3504200000,-1225680.469
1/28/19,2643.85,3612810000,114954.1975
1/25/19,2664.76,3814080000,624335.6543
1/24/19,2642.33,3433250000,-669720.1686
1/23/19,2638.7,3335610000,-108385.3862
1/22/19,2632.9,3908030000,-173177.752
1/18/19,2670.71,3986730000,1128939.794
1/17/19,2635.96,3772270000,-1037573.601
1/16/19,2616.1,3863770000,-592984.5095
1/15/19,2610.3,3572330000,-173177.752
1/14/19,2582.61,3664450000,-826774.4748
1/11/19,2596.26,3434490000,407564.8819
1/10/19,2596.64,3704500000,11346.12858
1/9/19,2584.96,4052480000,-348744.1627
1/8/19,2574.41,4083030000,-315004.3593
1/7/19,2549.69,4104710000,-738095.5225
1/4/19,2531.94,4213410000,-529983.6377
1/3/19,2447.89,3822860000,-2509584.493
1/2/19,2510.03,3733160000,1855390.605
12/31/18,2506.85,3442870000,-94949.18129
12/28/18,2485.74,3702620000,-630307.3009
12/27/18,2488.83,4096610000,92261.94031
12/26/18,2467.7,4233990000,-630904.4656
12/24/18,2351.1,2613930000,-3481469.981
12/21/18,2416.62,7609010000,1956311.433
12/20/18,2467.42,5585780000,1516798.242
12/19/18,2506.96,5127940000,1180594.537
12/18/18,2546.16,4470880000,1170442.738
12/17/18,2545.94,4616350000,-6568.811284
12/14/18,2599.95,4035020000,1612643.17
12/13/18,2650.54,3927720000,1510528.013
12/12/18,2651.07,3958890000,15824.86355
12/11/18,2636.78,3905870000,-426674.1511
12/10/18,2637.72,4151030000,28066.73912
12/7/18,2633.08,4216690000,-138542.2016
12/6/18,2695.95,5141470000,1877187.116
12/4/18,2700.06,4499840000,122717.3381
12/3/18,2790.37,4186060000,2696497.032
11/30/18,2760.17,4658580000,-901718.6399
11/29/18,2737.8,3560770000,-667928.6747
11/28/18,2743.79,3951670000,178850.8163
11/27/18,2682.17,3485220000,-1839864.324
11/26/18,2673.45,3443950000,-260363.7927
11/23/18,2632.56,1651650000,-1220903.152
11/21/18,2649.93,3233550000,518637.5091
11/20/18,2641.89,4357900000,-240060.1942
11/19/18,2690.73,3772900000,1458276.105
11/16/18,2736.27,3975180000,1359743.936
11/15/18,2730.2,4179140000,-181239.475
11/14/18,2701.58,4402370000,-854542.6316
11/13/18,2722.18,4091440000,615079.602
11/12/18,2726.22,3670930000,120627.2618
11/9/18,2781.01,4019090000,1635932.592
11/8/18,2806.83,3630490000,770939.5789
11/7/18,2813.89,3914750000,210799.1258
11/6/18,2755.45,3510860000,-1744915.143
11/5/18,2738.31,3623320000,-511770.1155
11/2/18,2723.06,4237930000,-455338.0549
11/1/18,2740.37,4708420000,516846.0151
10/31/18,2711.74,5112420000,-854841.2139
10/30/18,2682.63,5106380000,-869173.1658
10/29/18,2641.25,4673700000,-1235533.686
10/26/18,2658.69,4803150000,520727.5854
10/25/18,2705.57,4634770000,1399753.968
10/24/18,2656.1,4709310000,-1477086.792
10/23/18,2740.69,4348580000,2525707.939
10/22/18,2755.88,3307140000,453546.5609
10/19/18,2767.78,3566490000,355312.974
10/18/18,2768.78,3616440000,29858.23311
10/17/18,2809.21,3321710000,1207168.365
10/16/18,2809.92,3428340000,21199.34551
10/15/18,2750.79,3300140000,-1765517.324
10/12/18,2767.13,3966040000,487883.529
10/11/18,2728.37,4890630000,-1157305.115
10/10/18,2785.68,4501250000,1711175.339
10/9/18,2880.34,3520500000,2826380.346
10/8/18,2884.43,3330320000,122120.1734
10/5/18,2885.57,3328980000,34038.38574
10/4/18,2901.61,3496860000,478926.0591
10/3/18,2925.51,3598710000,713611.7713
10/2/18,2923.43,3401880000,-62105.12487
10/1/18,2924.59,3364190000,34635.55041
9/28/18,2913.98,3432300000,-316795.8533
9/27/18,2914,3060850000,597.1646622
9/26/18,2905.97,3388620000,-239761.6119
9/25/18,2915.56,3285480000,286340.4555
9/24/18,2919.37,3372210000,113759.8681
9/21/18,2929.67,5607610000,307539.801
9/20/18,2930.75,3337730000,32246.89176
9/19/18,2907.95,3280020000,-680767.7149
9/18/18,2904.31,3074610000,-108683.9685
9/17/18,2888.8,2947760000,-463101.1955
9/14/18,2904.98,3149800000,483106.2117
9/13/18,2904.18,3254930000,-23886.58649
9/12/18,2888.92,3264930000,-455636.6372
9/11/18,2887.89,2899660000,-30753.9801
9/10/18,2877.13,2731400000,-321274.5883
9/7/18,2871.68,2946270000,-162727.3704
9/6/18,2878.05,3139590000,190196.9449
9/5/18,2888.6,3241250000,315004.3593
9/4/18,2896.72,3077060000,242448.8528
8/31/18,2901.52,2880260000,143319.5189
8/30/18,2901.13,2802180000,-11644.71091
8/29/18,2914.04,2791860000,385469.7894
8/28/18,2897.52,2683190000,-493258.011
8/27/18,2896.74,2854080000,-23289.42183
8/24/18,2874.69,2596190000,-658374.0401
8/23/18,2856.98,2713910000,-528789.3084
8/22/18,2861.82,2689560000,144513.8482
8/21/18,2862.96,3147140000,34038.38574
8/20/18,2857.05,2748020000,-176462.1577
8/17/18,2850.13,3024100000,-206618.9731
8/16/18,2840.69,3219880000,-281861.7206
8/15/18,2818.37,3645070000,-666435.763
8/14/18,2839.96,2976970000,644639.2528
8/13/18,2821.93,3158450000,-538343.943
8/10/18,2833.28,3256040000,338890.9458
8/9/18,2853.58,3047050000,606122.1321
8/8/18,2857.7,2972200000,123015.9204
8/7/18,2858.45,3162770000,22393.67483
8/6/18,2850.4,2874540000,-240358.7765
8/3/18,2840.35,3030390000,-300075.2427
8/2/18,2827.22,3467380000,-392038.6007
